tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
o__Kapabacteriales,c__Kapabacteria,rank_3,o__Kapabacteriales,Root,d__Bacteria,p__Bacteroidetes,c__Kapabacteria,o__Kapabacteriales,,,
f__NICIL-2,o__Kapabacteriales,rank_4,f__NICIL-2,Root,d__Bacteria,p__Bacteroidetes,c__Kapabacteria,o__Kapabacteriales,f__NICIL-2,,
g__NICIL-2,f__NICIL-2,rank_5,g__NICIL-2,Root,d__Bacteria,p__Bacteroidetes,c__Kapabacteria,o__Kapabacteriales,f__NICIL-2,g__NICIL-2,
g__UBA3947,f__Clostridiaceae,rank_5,g__UBA3947,Root,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__UBA3947,
f__CG1-02-43-26,o__Opitutales,rank_4,f__CG1-02-43-26,Root,d__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Opitutales,f__CG1-02-43-26,,
g__CG1-02-43-26,f__CG1-02-43-26,rank_5,g__CG1-02-43-26,Root,d__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Opitutales,f__CG1-02-43-26,g__CG1-02-43-26,
s__Salinicoccus_roseus,g__Salinicoccus,rank_6,s__Salinicoccus_roseus,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Salinicoccaceae,g__Salinicoccus,s__Salinicoccus_roseus
s__Borrelia_parkeri,g__Borrelia,rank_6,s__Borrelia_parkeri,Root,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Borreliales,f__Borreliaceae,g__Borrelia,s__Borrelia_parkeri
g__Natronorubrum,f__Haloferacaceae,rank_5,g__Natronorubrum,Root,d__Archaea,p__Halobacterota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Natronorubrum,
s__Natronorubrum_bangense,g__Natronorubrum,rank_6,s__Natronorubrum_bangense,Root,d__Archaea,p__Halobacterota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Natronorubrum,s__Natronorubrum_bangense
s__Tessaracoccus_flavus,g__Tessaracoccus,rank_6,s__Tessaracoccus_flavus,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Tessaracoccus,s__Tessaracoccus_flavus
f__Gemellaceae,o__Staphylococcales,rank_4,f__Gemellaceae,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Gemellaceae,,
g__Gemella_A,f__Gemellaceae,rank_5,g__Gemella_A,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Gemellaceae,g__Gemella_A,
