tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
Root,Root,root,Root,Root,,,,,,,
d__Bacteria,Root,rank_0,d__Bacteria,Root,d__Bacteria,,,,,,
p__Proteobacteria,d__Bacteria,rank_1,p__Proteobacteria,Root,d__Bacteria,p__Proteobacteria,,,,,
c__Alphaproteobacteria,p__Proteobacteria,rank_2,c__Alphaproteobacteria,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,,,,
o__Rhodobacterales,c__Alphaproteobacteria,rank_3,o__Rhodobacterales,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,,,
f__Rhodobacteraceae,o__Rhodobacterales,rank_4,f__Rhodobacteraceae,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,
g__HLUCCA08,f__Rhodobacteraceae,rank_5,g__HLUCCA08,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__HLUCCA08,
g__Actibacterium,f__Rhodobacteraceae,rank_5,g__Actibacterium,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Actibacterium,
s__Actibacterium_mucosum,g__Actibacterium,rank_6,s__Actibacterium_mucosum,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Actibacterium,s__Actibacterium_mucosum
p__Bacteroidetes,d__Bacteria,rank_1,p__Bacteroidetes,Root,d__Bacteria,p__Bacteroidetes,,,,,
c__Bacteroidia,p__Bacteroidetes,rank_2,c__Bacteroidia,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,,,,
o__Flavobacteriales,c__Bacteroidia,rank_3,o__Flavobacteriales,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,,,
f__Blattabacteriaceae,o__Flavobacteriales,rank_4,f__Blattabacteriaceae,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Blattabacteriaceae,,
g__Blattabacterium,f__Blattabacteriaceae,rank_5,g__Blattabacterium,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Blattabacteriaceae,g__Blattabacterium,
p__Firmicutes_A,d__Bacteria,rank_1,p__Firmicutes_A,Root,d__Bacteria,p__Firmicutes_A,,,,,
c__Clostridia,p__Firmicutes_A,rank_2,c__Clostridia,Root,d__Bacteria,p__Firmicutes_A,c__Clostridia,,,,
o__Tissierellales,c__Clostridia,rank_3,o__Tissierellales,Root,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,,,
f__Helcococcaceae,o__Tissierellales,rank_4,f__Helcococcaceae,Root,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Helcococcaceae,,
g__W5053,f__Helcococcaceae,rank_5,g__W5053,Root,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Helcococcaceae,g__W5053,
d__Archaea,Root,rank_0,d__Archaea,Root,d__Archaea,,,,,,
p__Euryarchaeota,d__Archaea,rank_1,p__Euryarchaeota,Root,d__Archaea,p__Euryarchaeota,,,,,
c__Methanobacteria,p__Euryarchaeota,rank_2,c__Methanobacteria,Root,d__Archaea,p__Euryarchaeota,c__Methanobacteria,,,,
o__Methanobacteriales,c__Methanobacteria,rank_3,o__Methanobacteriales,Root,d__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,,,
f__Methanobacteriaceae,o__Methanobacteriales,rank_4,f__Methanobacteriaceae,Root,d__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,,
g__Methanobacterium_C,f__Methanobacteriaceae,rank_5,g__Methanobacterium_C,Root,d__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium_C,
s__Methanobacterium_C_congolense,g__Methanobacterium_C,rank_6,s__Methanobacterium_C_congolense,Root,d__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium_C,s__Methanobacterium_C_congolense
p__Actinobacteria,d__Bacteria,rank_1,p__Actinobacteria,Root,d__Bacteria,p__Actinobacteria,,,,,
c__Actinobacteria,p__Actinobacteria,rank_2,c__Actinobacteria,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,,,,
o__Propionibacteriales,c__Actinobacteria,rank_3,o__Propionibacteriales,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,,,
f__Actinopolymorphaceae,o__Propionibacteriales,rank_4,f__Actinopolymorphaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Actinopolymorphaceae,,
g__Actinopolymorpha,f__Actinopolymorphaceae,rank_5,g__Actinopolymorpha,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Actinopolymorphaceae,g__Actinopolymorpha,
s__Actinopolymorpha_singaporensis,g__Actinopolymorpha,rank_6,s__Actinopolymorpha_singaporensis,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Actinopolymorphaceae,g__Actinopolymorpha,s__Actinopolymorpha_singaporensis
o__Rhizobiales,c__Alphaproteobacteria,rank_3,o__Rhizobiales,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,,,
f__Hyphomicrobiaceae,o__Rhizobiales,rank_4,f__Hyphomicrobiaceae,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,,
g__Hyphomicrobium,f__Hyphomicrobiaceae,rank_5,g__Hyphomicrobium,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Hyphomicrobium,
s__Hyphomicrobium_denitrificans_A,g__Hyphomicrobium,rank_6,s__Hyphomicrobium_denitrificans_A,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Hyphomicrobium,s__Hyphomicrobium_denitrificans_A
p__Chloroflexi,d__Bacteria,rank_1,p__Chloroflexi,Root,d__Bacteria,p__Chloroflexi,,,,,
c__Dehalococcoidia,p__Chloroflexi,rank_2,c__Dehalococcoidia,Root,d__Bacteria,p__Chloroflexi,c__Dehalococcoidia,,,,
o__Dehalococcoidales,c__Dehalococcoidia,rank_3,o__Dehalococcoidales,Root,d__Bacteria,p__Chloroflexi,c__Dehalococcoidia,o__Dehalococcoidales,,,
f__Dehalococcoidaceae,o__Dehalococcoidales,rank_4,f__Dehalococcoidaceae,Root,d__Bacteria,p__Chloroflexi,c__Dehalococcoidia,o__Dehalococcoidales,f__Dehalococcoidaceae,,
g__Dehalogenimonas,f__Dehalococcoidaceae,rank_5,g__Dehalogenimonas,Root,d__Bacteria,p__Chloroflexi,c__Dehalococcoidia,o__Dehalococcoidales,f__Dehalococcoidaceae,g__Dehalogenimonas,
p__Halobacterota,d__Archaea,rank_1,p__Halobacterota,Root,d__Archaea,p__Halobacterota,,,,,
c__Halobacteria,p__Halobacterota,rank_2,c__Halobacteria,Root,d__Archaea,p__Halobacterota,c__Halobacteria,,,,
o__Halobacteriales,c__Halobacteria,rank_3,o__Halobacteriales,Root,d__Archaea,p__Halobacterota,c__Halobacteria,o__Halobacteriales,,,
f__Haloferacaceae,o__Halobacteriales,rank_4,f__Haloferacaceae,Root,d__Archaea,p__Halobacterota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,,
g__Halorubrum,f__Haloferacaceae,rank_5,g__Halorubrum,Root,d__Archaea,p__Halobacterota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halorubrum,
s__Halorubrum_saccharovorum,g__Halorubrum,rank_6,s__Halorubrum_saccharovorum,Root,d__Archaea,p__Halobacterota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halorubrum,s__Halorubrum_saccharovorum
p__Firmicutes,d__Bacteria,rank_1,p__Firmicutes,Root,d__Bacteria,p__Firmicutes,,,,,
c__Bacilli,p__Firmicutes,rank_2,c__Bacilli,Root,d__Bacteria,p__Firmicutes,c__Bacilli,,,,
o__Bacillales,c__Bacilli,rank_3,o__Bacillales,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,,,
f__Amphibacillaceae,o__Bacillales,rank_4,f__Amphibacillaceae,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Amphibacillaceae,,
g__Terribacillus,f__Amphibacillaceae,rank_5,g__Terribacillus,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Amphibacillaceae,g__Terribacillus,
s__Terribacillus_halophilus,g__Terribacillus,rank_6,s__Terribacillus_halophilus,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Amphibacillaceae,g__Terribacillus,s__Terribacillus_halophilus
c__Gammaproteobacteria,p__Proteobacteria,rank_2,c__Gammaproteobacteria,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,
o__Chromatiales,c__Gammaproteobacteria,rank_3,o__Chromatiales,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,,,
f__Chromatiaceae,o__Chromatiales,rank_4,f__Chromatiaceae,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Chromatiaceae,,
g__Allochromatium,f__Chromatiaceae,rank_5,g__Allochromatium,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Chromatiaceae,g__Allochromatium,
s__Allochromatium_vinosum,g__Allochromatium,rank_6,s__Allochromatium_vinosum,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Chromatiaceae,g__Allochromatium,s__Allochromatium_vinosum
o__Sphingomonadales,c__Alphaproteobacteria,rank_3,o__Sphingomonadales,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,,,
f__Sphingomonadaceae,o__Sphingomonadales,rank_4,f__Sphingomonadaceae,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,,
g__Sphingomonas_B,f__Sphingomonadaceae,rank_5,g__Sphingomonas_B,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas_B,
s__Sphingomonas_B_changbaiensis,g__Sphingomonas_B,rank_6,s__Sphingomonas_B_changbaiensis,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas_B,s__Sphingomonas_B_changbaiensis
o__Oscillospirales,c__Clostridia,rank_3,o__Oscillospirales,Root,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,,,
f__Oscillospiraceae,o__Oscillospirales,rank_4,f__Oscillospiraceae,Root,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,,
g__Pseudoflavonifractor,f__Oscillospiraceae,rank_5,g__Pseudoflavonifractor,Root,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Pseudoflavonifractor,
g__Roseovarius,f__Rhodobacteraceae,rank_5,g__Roseovarius,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Roseovarius,
s__Roseovarius_albus,g__Roseovarius,rank_6,s__Roseovarius_albus,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Roseovarius,s__Roseovarius_albus
p__Omnitrophica,d__Bacteria,rank_1,p__Omnitrophica,Root,d__Bacteria,p__Omnitrophica,,,,,
c__Omnitrophica,p__Omnitrophica,rank_2,c__Omnitrophica,Root,d__Bacteria,p__Omnitrophica,c__Omnitrophica,,,,
o__Omnitrophales,c__Omnitrophica,rank_3,o__Omnitrophales,Root,d__Bacteria,p__Omnitrophica,c__Omnitrophica,o__Omnitrophales,,,
f__01-FULL-45-10b,o__Omnitrophales,rank_4,f__01-FULL-45-10b,Root,d__Bacteria,p__Omnitrophica,c__Omnitrophica,o__Omnitrophales,f__01-FULL-45-10b,,
g__2-12-FULL-50-11-A,f__01-FULL-45-10b,rank_5,g__2-12-FULL-50-11-A,Root,d__Bacteria,p__Omnitrophica,c__Omnitrophica,o__Omnitrophales,f__01-FULL-45-10b,g__2-12-FULL-50-11-A,
p__Planctomycetes,d__Bacteria,rank_1,p__Planctomycetes,Root,d__Bacteria,p__Planctomycetes,,,,,
c__Planctomycetia,p__Planctomycetes,rank_2,c__Planctomycetia,Root,d__Bacteria,p__Planctomycetes,c__Planctomycetia,,,,
o__Gemmatales,c__Planctomycetia,rank_3,o__Gemmatales,Root,d__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,,,
f__Gemmataceae,o__Gemmatales,rank_4,f__Gemmataceae,Root,d__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Gemmataceae,,
g__Fimbriiglobus,f__Gemmataceae,rank_5,g__Fimbriiglobus,Root,d__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Gemmataceae,g__Fimbriiglobus,
s__Fimbriiglobus_ruber,g__Fimbriiglobus,rank_6,s__Fimbriiglobus_ruber,Root,d__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Gemmataceae,g__Fimbriiglobus,s__Fimbriiglobus_ruber
g__Flavonifractor,f__Oscillospiraceae,rank_5,g__Flavonifractor,Root,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Flavonifractor,
f__Nocardioidaceae,o__Propionibacteriales,rank_4,f__Nocardioidaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,,
g__Nocardioides,f__Nocardioidaceae,rank_5,g__Nocardioides,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,
d__Eukaryota,Root,rank_0,d__Eukaryota,Root,d__Eukaryota,,,,,,
Viridiplantae,d__Eukaryota,rank_1,Viridiplantae,Root,d__Eukaryota,Viridiplantae,,,,,
o__Betaproteobacteriales,c__Gammaproteobacteria,rank_3,o__Betaproteobacteriales,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,,,
f__Burkholderiaceae,o__Betaproteobacteriales,rank_4,f__Burkholderiaceae,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,,
g__Delftia,f__Burkholderiaceae,rank_5,g__Delftia,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Delftia,
s__Delftia_acidovorans,g__Delftia,rank_6,s__Delftia_acidovorans,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Delftia,s__Delftia_acidovorans
c__Methanococci,p__Euryarchaeota,rank_2,c__Methanococci,Root,d__Archaea,p__Euryarchaeota,c__Methanococci,,,,
o__Methanococcales,c__Methanococci,rank_3,o__Methanococcales,Root,d__Archaea,p__Euryarchaeota,c__Methanococci,o__Methanococcales,,,
f__Methanocaldococcaceae,o__Methanococcales,rank_4,f__Methanocaldococcaceae,Root,d__Archaea,p__Euryarchaeota,c__Methanococci,o__Methanococcales,f__Methanocaldococcaceae,,
g__Methanocaldococcus,f__Methanocaldococcaceae,rank_5,g__Methanocaldococcus,Root,d__Archaea,p__Euryarchaeota,c__Methanococci,o__Methanococcales,f__Methanocaldococcaceae,g__Methanocaldococcus,
s__Methanocaldococcus_jannaschii,g__Methanocaldococcus,rank_6,s__Methanocaldococcus_jannaschii,Root,d__Archaea,p__Euryarchaeota,c__Methanococci,o__Methanococcales,f__Methanocaldococcaceae,g__Methanocaldococcus,s__Methanocaldococcus_jannaschii
f__Flavobacteriaceae,o__Flavobacteriales,rank_4,f__Flavobacteriaceae,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,,
g__Wenyingzhuangia,f__Flavobacteriaceae,rank_5,g__Wenyingzhuangia,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Wenyingzhuangia,
s__Wenyingzhuangia_marina,g__Wenyingzhuangia,rank_6,s__Wenyingzhuangia_marina,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Wenyingzhuangia,s__Wenyingzhuangia_marina
p__Spirochaetes,d__Bacteria,rank_1,p__Spirochaetes,Root,d__Bacteria,p__Spirochaetes,,,,,
c__Spirochaetia,p__Spirochaetes,rank_2,c__Spirochaetia,Root,d__Bacteria,p__Spirochaetes,c__Spirochaetia,,,,
o__Treponematales,c__Spirochaetia,rank_3,o__Treponematales,Root,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Treponematales,,,
f__Treponemataceae,o__Treponematales,rank_4,f__Treponemataceae,Root,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Treponematales,f__Treponemataceae,,
g__Spiro-10,f__Treponemataceae,rank_5,g__Spiro-10,Root,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Treponematales,f__Treponemataceae,g__Spiro-10,
o__Cytophagales,c__Bacteroidia,rank_3,o__Cytophagales,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,,,
f__Flammeovirgaceae,o__Cytophagales,rank_4,f__Flammeovirgaceae,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Flammeovirgaceae,,
g__Flammeovirga,f__Flammeovirgaceae,rank_5,g__Flammeovirga,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Flammeovirgaceae,g__Flammeovirga,
o__Enterobacterales,c__Gammaproteobacteria,rank_3,o__Enterobacterales,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,,,
f__Vibrionaceae,o__Enterobacterales,rank_4,f__Vibrionaceae,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Vibrionaceae,,
g__Vibrio,f__Vibrionaceae,rank_5,g__Vibrio,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Vibrionaceae,g__Vibrio,
s__Vibrio_algivorus,g__Vibrio,rank_6,s__Vibrio_algivorus,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Vibrionaceae,g__Vibrio,s__Vibrio_algivorus
o__Bacteroidales,c__Bacteroidia,rank_3,o__Bacteroidales,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,,,
f__Bacteroidaceae,o__Bacteroidales,rank_4,f__Bacteroidaceae,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,,
g__Bacteroides,f__Bacteroidaceae,rank_5,g__Bacteroides,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,
s__Bacteroides_graminisolvens,g__Bacteroides,rank_6,s__Bacteroides_graminisolvens,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_graminisolvens
f__Bacillaceae_L,o__Bacillales,rank_4,f__Bacillaceae_L,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae_L,,
g__Bacillus_AX,f__Bacillaceae_L,rank_5,g__Bacillus_AX,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae_L,g__Bacillus_AX,
s__Bacillus_AX_alkalitelluris,g__Bacillus_AX,rank_6,s__Bacillus_AX_alkalitelluris,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae_L,g__Bacillus_AX,s__Bacillus_AX_alkalitelluris
g__Jannaschia,f__Rhodobacteraceae,rank_5,g__Jannaschia,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Jannaschia,
s__Jannaschia_faecimaris,g__Jannaschia,rank_6,s__Jannaschia_faecimaris,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Jannaschia,s__Jannaschia_faecimaris
p__Epsilonbacterota,d__Bacteria,rank_1,p__Epsilonbacterota,Root,d__Bacteria,p__Epsilonbacterota,,,,,
c__Campylobacteria,p__Epsilonbacterota,rank_2,c__Campylobacteria,Root,d__Bacteria,p__Epsilonbacterota,c__Campylobacteria,,,,
o__Campylobacterales,c__Campylobacteria,rank_3,o__Campylobacterales,Root,d__Bacteria,p__Epsilonbacterota,c__Campylobacteria,o__Campylobacterales,,,
f__Arcobacteraceae,o__Campylobacterales,rank_4,f__Arcobacteraceae,Root,d__Bacteria,p__Epsilonbacterota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,,
g__Arcobacter,f__Arcobacteraceae,rank_5,g__Arcobacter,Root,d__Bacteria,p__Epsilonbacterota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,g__Arcobacter,
s__Arcobacter_thereius,g__Arcobacter,rank_6,s__Arcobacter_thereius,Root,d__Bacteria,p__Epsilonbacterota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,g__Arcobacter,s__Arcobacter_thereius
o__Lactobacillales,c__Bacilli,rank_3,o__Lactobacillales,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,,,
f__Lactobacillaceae,o__Lactobacillales,rank_4,f__Lactobacillaceae,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,,
g__Weissella,f__Lactobacillaceae,rank_5,g__Weissella,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Weissella,
s__Weissella_hellenica_A,g__Weissella,rank_6,s__Weissella_hellenica_A,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Weissella,s__Weissella_hellenica_A
g__Paraburkholderia_E,f__Burkholderiaceae,rank_5,g__Paraburkholderia_E,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Paraburkholderia_E,
s__Paraburkholderia_E_caryophylli,g__Paraburkholderia_E,rank_6,s__Paraburkholderia_E_caryophylli,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Paraburkholderia_E,s__Paraburkholderia_E_caryophylli
o__Erysipelotrichales,c__Bacilli,rank_3,o__Erysipelotrichales,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,,,
f__Erysipelotrichaceae,o__Erysipelotrichales,rank_4,f__Erysipelotrichaceae,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,,
g__Anaerorhabdus,f__Erysipelotrichaceae,rank_5,g__Anaerorhabdus,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Anaerorhabdus,
s__Anaerorhabdus_furcosa,g__Anaerorhabdus,rank_6,s__Anaerorhabdus_furcosa,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Anaerorhabdus,s__Anaerorhabdus_furcosa
o__Corynebacteriales,c__Actinobacteria,rank_3,o__Corynebacteriales,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,,,
f__Corynebacteriaceae,o__Corynebacteriales,rank_4,f__Corynebacteriaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,,
g__Gordonia,f__Corynebacteriaceae,rank_5,g__Gordonia,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Gordonia,
s__Gordonia_hydrophobica,g__Gordonia,rank_6,s__Gordonia_hydrophobica,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Gordonia,s__Gordonia_hydrophobica
o__RF39,c__Bacilli,rank_3,o__RF39,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,,,
f__CAG-1000,o__RF39,rank_4,f__CAG-1000,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,f__CAG-1000,,
g__CAG-605,f__CAG-1000,rank_5,g__CAG-605,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,f__CAG-1000,g__CAG-605,
o__Actinomycetales,c__Actinobacteria,rank_3,o__Actinomycetales,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,,,
f__Cellulomonadaceae,o__Actinomycetales,rank_4,f__Cellulomonadaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Cellulomonadaceae,,
g__Jonesia,f__Cellulomonadaceae,rank_5,g__Jonesia,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Cellulomonadaceae,g__Jonesia,
s__Jonesia_quinghaiensis,g__Jonesia,rank_6,s__Jonesia_quinghaiensis,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Cellulomonadaceae,g__Jonesia,s__Jonesia_quinghaiensis
c__Rhodothermia,p__Bacteroidetes,rank_2,c__Rhodothermia,Root,d__Bacteria,p__Bacteroidetes,c__Rhodothermia,,,,
o__Rhodothermales,c__Rhodothermia,rank_3,o__Rhodothermales,Root,d__Bacteria,p__Bacteroidetes,c__Rhodothermia,o__Rhodothermales,,,
f__Salinibacteraceae,o__Rhodothermales,rank_4,f__Salinibacteraceae,Root,d__Bacteria,p__Bacteroidetes,c__Rhodothermia,o__Rhodothermales,f__Salinibacteraceae,,
g__Salisaeta,f__Salinibacteraceae,rank_5,g__Salisaeta,Root,d__Bacteria,p__Bacteroidetes,c__Rhodothermia,o__Rhodothermales,f__Salinibacteraceae,g__Salisaeta,
s__Salisaeta_longa,g__Salisaeta,rank_6,s__Salisaeta_longa,Root,d__Bacteria,p__Bacteroidetes,c__Rhodothermia,o__Rhodothermales,f__Salinibacteraceae,g__Salisaeta,s__Salisaeta_longa
c__Bacilli_A,p__Firmicutes,rank_2,c__Bacilli_A,Root,d__Bacteria,p__Firmicutes,c__Bacilli_A,,,,
o__Thermoactinomycetales,c__Bacilli_A,rank_3,o__Thermoactinomycetales,Root,d__Bacteria,p__Firmicutes,c__Bacilli_A,o__Thermoactinomycetales,,,
f__Thermoactinomycetaceae,o__Thermoactinomycetales,rank_4,f__Thermoactinomycetaceae,Root,d__Bacteria,p__Firmicutes,c__Bacilli_A,o__Thermoactinomycetales,f__Thermoactinomycetaceae,,
